id,name,supplier_id,category_id,quantity_per_unit,unit_price,stock,discontinued
39,Hummus - NFY12141Z,25,11,39,137,172,False
40,Hummus - NFY121420,44,5,29,41,3,False
41,Hummus - NFY121421,45,10,59,84,27,False
42,Hummus - NFY12141P,20,11,50,71,2,False
43,"Hummus, Tribe Classic - KY, PA",17,2,29,112,50,False
44,Hummus - NFY12142M,58,4,27,37,77,False
45,Hummus - NFY12142N,47,10,54,157,188,False
46,Hummus - NFY12142O,60,9,64,168,66,False
47,Hummus - NFY12142P,25,10,41,63,182,False
48,Hummus - NFY12142Q,24,11,26,147,105,False
49,Hummus - NFY12142R,30,1,38,65,124,False
50,Hummus - NFY12142G,29,9,23,165,152,False
51,"Hummus, Other - AZ, IN",28,2,10,26,102,False
52,"MILK, 2% (WAVE 22E)",40,11,72,120,175,False
53,"MILK, 2% ",57,1,21,25,116,False
54,"Milk, 2%",59,9,5,173,40,False
55,"Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",5,8,38,101,177,False
56,"Beef, eye of round roast, raw (ER37-R-5)",5,5,63,13,24,False
57,"Beef, eye of round steak, raw (ES36-R-5) ",20,10,73,17,96,False
58,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",39,1,46,101,199,False
59,"Beef,  Eye of Round roast/steak, select, raw, comp13, lean (36BRERS/37BRERRS)",55,11,12,90,144,False
60,"Beef, eye of round roast, raw (ER37-R-10)",33,5,34,143,2,False
61,"Beef, eye of round roast, raw (ER37-R-11)",26,9,29,12,91,False
62,"Beef, eye of round roast, raw (ER37-R-16)",4,11,25,153,89,False
63,"Beef, eye of round roast, raw (ER37-R-17)",46,1,10,56,105,False
64,"Beef, eye of round roast, raw (ER37-R-18)",26,11,66,121,175,False
65,"Beef, eye of round roast, raw (ER37-R-22)",41,9,79,142,181,False
66,"Beef, eye of round roast, raw (ER37-R-23)",29,4,21,103,28,False
67,"Beef, eye of round roast, raw (ER37-R-28)",30,5,74,43,117,False
68,"Beef, eye of round roast, raw (ER37-R-29)",5,6,65,13,106,False
69,"Beef, eye of round roast, raw (ER37-R-35)",10,11,24,83,15,False
70,"Beef, eye of round roast, raw (ER37-R-36)",7,10,79,59,195,False
71,"Beef, eye of round steak, raw (ES36-R-10) ",33,2,52,39,186,False
72,"Beef, eye of round steak, raw (ES36-R-11) ",45,10,37,75,108,False
73,"Beef, eye of round steak, raw (ES36-R-16) ",46,6,21,132,140,False
74,"Beef, eye of round steak, raw (ES36-R-17) ",7,1,68,105,74,False
75,"Beef, eye of round steak, raw (ES36-R-18) ",46,7,41,184,21,False
76,"Beef, eye of round steak, raw (ES36-R-22) ",21,8,43,170,145,False
77,"Beef, eye of round steak, raw (ES36-R-23) ",38,5,13,145,131,False
78,"Beef, eye of round steak, raw (ES36-R-28) ",47,1,41,17,20,False
79,"Beef, eye of round steak, raw (ES36-R-29) ",14,10,13,103,135,False
80,"Beef, eye of round steak, raw (ES36-R-35) ",57,11,48,63,18,False
81,"Beef, eye of round steak, raw (ES36-R-36) ",1,7,71,54,176,False
82,"Se - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",51,5,12,119,2,False
83,"Minerals - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",35,4,19,192,3,False
84,"Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",2,7,16,148,95,False
85,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",37,5,65,21,42,False
86,"Beef, Eye of Round roast/steak, select, raw, comp5, lean (36BRERS/37BRERRS)",35,2,55,86,140,False
87,"B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp5, lean",44,3,48,16,76,False
88,"FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean",11,3,72,34,180,False
89,"Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean",25,7,24,6,24,False
90,"Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",20,1,24,7,140,False
91,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",48,8,24,110,83,False
92,"Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",32,9,15,170,158,False
93,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",15,9,35,5,165,False
94,"Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",7,7,33,23,112,False
95,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",8,11,2,40,33,False
96,"Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",28,5,44,40,13,False
97,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",10,10,16,180,12,False
98,"Beef, Eye of Round roast/steak, select, raw, comp6, lean (36BRERS/37BRERRS)",40,8,47,190,124,False
99,"B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp6, lean",26,5,30,94,41,False
100,"Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean",52,9,79,26,48,False
101,"FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean",43,8,40,122,170,True
102,"Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",2,1,40,71,113,False
103,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",17,4,32,110,48,False
104,"Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",56,3,79,188,49,False
105,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",7,2,73,152,77,False
106,"Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",37,5,2,63,41,False
107,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",3,1,45,112,60,False
108,"Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",27,10,12,76,157,False
109,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",21,6,66,107,44,False
110,"Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",2,11,32,110,43,False
111,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",54,1,30,23,168,False
112,"Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",23,5,17,48,66,False
113,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",38,9,15,79,97,False
114,"TOMATOES, GRAPE",17,1,11,40,50,False
115,"Hummus, commercial",50,2,57,102,108,False
116,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",16,11,24,126,26,False
117,"Tomatoes, grape, raw",22,9,68,77,173,False
118,"SALT, MORTON, IODIZED",59,10,31,162,185,False
119,Salt; iodized,51,1,21,7,38,False
120,"Salt, Not Iodized",23,5,49,20,173,False
121,"Salt, Iodized",38,2,66,136,131,False
122,"SALT, GREAT VALUE, IODIZED",46,2,55,48,153,False
123,"SALT, HEB IODIZED",28,10,21,46,165,False
124,"SALT, LAURA LYNN, IODIZED",59,5,7,52,108,False
125,"SALT, ESSENTIAL EVERYDAY, IODIZED",29,5,46,61,183,False
126,"SALT, HY VEE, IODIZED",12,5,66,54,47,False
127,"SALT, SIGNATURE KITCHENS, IODIZED",1,1,76,65,143,False
128,"SALT, FOOD CLUB, IODIZED",57,3,3,111,13,False
129,"Salt, iodized - NFY121S6F",27,10,56,12,184,False
130,"Salt, iodized - NFY121S6G",60,11,55,67,92,False
131,"SALT, SHOP RITE, IODIZED",30,9,58,136,0,False
132,"Salt, table, iodized",11,2,6,177,56,False
133,"BEANS, SNAP, CANNED, DRAINED, DEL MONTE",52,5,21,109,163,False
134,Beans snap canned drained,1,10,62,162,148,False
135,"Beans, snap, canned, drained - NFY1211Z9",14,11,46,59,90,False
136,"Beans, snap, canned, drained - NFY1211ZM",11,1,15,38,151,False
137,"Beans, snap, canned, drained - NFY1211Z2",56,3,65,60,185,False
138,"Beans, snap, canned, drained - NFY1211Z3",24,11,72,73,73,False
139,"Beans, snap, canned, drained - NFY1211YP",13,11,28,146,28,False
140,"Beans, snap, canned, drained - NFY1211YQ",22,5,17,96,57,False
141,"Beans, snap, canned, drained - NFY1211YW",25,11,26,8,154,False
142,"Beans, snap, canned, drained - NFY1211ZF",10,1,77,6,91,False
143,"Beans, snap, canned, drained - NFY1211ZG",44,11,16,134,198,False
144,"BEANS, SNAP, CANNED, DRAINED, STORE BRAND",19,2,8,111,172,False
145,"Beans, snap, canned, drained - NFY1211ZZ",38,9,11,26,163,False
146,"Beans, snap, canned, drained - NFY12120I",58,1,3,42,141,False
147,"Beans, snap, canned, drained - NFY12120J",20,1,79,51,88,False
148,"Beans, snap, canned, drained - NFY12120C",52,9,57,186,63,False
149,"Beans, snap, canned, drained - NFY12120P",4,9,38,119,167,False
150,"BEANS, SNAP, CANNED, DRAINED, GREAT VALUE",21,1,69,195,98,False
151,"Beans, snap, canned, drained - NFY121205",51,8,37,54,20,False
152,"Beans, snap, canned, drained - NFY121206",44,11,5,61,46,False
153,"Beans, snap, canned, drained - NFY1211ZS",50,5,76,36,117,False
154,"Beans, snap, canned, drained - NFY1211ZT",26,1,61,132,167,False
155,"Beans, snap, green, canned, regular pack, drained solids",17,3,50,81,21,False
156,"Broccoli, raw (IN1,NY1) - CY0906E",22,9,68,43,48,False
157,"Broccoli, raw, 2 bunches (IN1) - NFY0905DD",58,5,51,150,127,False
158,"Broccoli, raw, 3 bunches (NY1) - NFY0905EV",59,7,2,75,195,False
159,"Broccoli, raw, 3 bunches (IN1) - NFY0905DC",22,1,47,170,153,False
160,"Moisture, Broccoli, raw (IN1,NY1) - NFY0904J7",33,9,65,50,148,False
161,"Vitamin C, Broccoli, raw (IN1,NY1) - NFY0904J9",37,11,35,169,8,False
162,"Broccoli, cooked (IN1,NY1) - CY0906K",40,2,52,162,176,False
163,"Moisture, Broccoli, cooked (IN1,NY1) - NFY0904KJ",39,9,44,94,195,False
164,"Vitamin C, Broccoli, cooked (IN1,NY1) - NFY0904KK",5,9,14,150,60,False
165,"Broccoli, raw (CA2,NC1) - CY0906G",29,8,66,81,191,False
166,"Broccoli, raw, OCEAN MIST, 4 bunches; Product of USA (NC1) - NFY0905IY",38,11,13,43,66,False
167,"Broccoli, raw, OCEAN MIST, 4 bunches; Product of USA (NC1) - NFY0905IX",20,7,51,38,56,False
168,"Broccoli, raw, 7 bunches (CA2) - NFY0905JA",41,11,43,111,143,False
169,"Broccoli, raw, OCEAN MIST, 3 bunches; Product of USA (NC1) - NFY0905IW",8,8,59,87,14,False
170,"Moisture, Broccoli, raw (CA2,NC1) - NFY0904JN",51,5,28,36,29,False
171,"Vitamin C, Broccoli, raw (CA2,NC1) - NFY0904JO",5,9,16,133,40,False
172,"Broccoli, cooked (CA2,NC1) - CY0906M",20,9,72,59,164,False
173,"Moisture, Broccoli, cooked (CA2,NC1) - NFY0904KZ",47,2,30,181,43,False
174,"Vitamin C, Broccoli, cooked (CA2,NC1) - NFY0904L0",2,1,59,89,149,False
175,"Broccoli, raw (AL1,CA1) - CY0906F",59,3,7,97,85,False
176,"Broccoli, raw, 4 bunches; Product of USA (AL1) - NFY0905HL",44,1,63,58,36,False
177,"Broccoli, raw, 4 bunches (CA1) - NFY0905IN",2,9,17,100,5,False
178,"Broccoli, raw, 4 bunches; Product of USA (AL1) - NFY0905HK",3,2,21,76,66,False
179,"Broccoli, raw, 4 bunches (CA1) - NFY0905IM",38,5,16,13,21,False
180,"Moisture, Broccoli, raw (AL1,CA1) - NFY0904JF",35,10,9,137,137,False
181,"Vitamin C, Broccoli, raw (AL1,CA1) - NFY0904JG",46,10,10,66,70,False
182,"Broccoli, cooked (AL1,CA1) - CY0906L",32,9,29,87,185,False
183,"Moisture, Broccoli, cooked (AL1,CA1) - NFY0904KR",11,9,6,113,137,False
184,"Vitamin C, Broccoli, cooked (AL1,CA1) - NFY0904KS",20,1,72,174,108,False
185,"Broccoli, raw (CO2,CT1) - CY0906H",53,3,57,95,4,False
186,"Broccoli, raw, 1 Bunch (CT1) - NFY0905EK",54,5,28,98,23,False
187,"Broccoli, raw, 1 Bunch (CT1) - NFY0905EM",56,9,68,13,140,False
188,"Broccoli, raw, 3 Ct (CO2) - NFY0905F0",32,9,76,118,100,False
189,"Broccoli, raw, 1 Bunch (CT1) - NFY0905EL",1,6,33,189,2,False
190,"Moisture, Broccoli, raw (CO2,CT1) - NFY0904JV",48,1,29,141,91,False
191,"Vitamin C, Broccoli, raw (CO2,CT1) - NFY0904JW",29,9,39,32,18,False
192,"Broccoli, cooked (CO2,CT1) - CY0906N",43,1,73,16,71,False
193,"Moisture, Broccoli, cooked (CO2,CT1) - NFY0904L7",30,11,23,197,177,False
194,"Vitamin C, Broccoli, cooked (CO2,CT1) - NFY0904L8",21,5,78,100,162,False
195,"Broccoli, Region 1, Pure Composite, CY01077",56,1,49,149,20,False
196,"Broccoli, Region 1, AR1, NFY0104US",36,9,28,101,72,False
197,"Broccoli, Region 1, AR1, NFY0104UT",16,10,63,13,108,False
198,"Broccoli, Region 1, AR1, NFY0104UU",9,2,42,121,21,False
199,"Broccoli, Region 1, AR1, NFY0104UV",54,5,36,31,73,False
200,"Broccoli, Region 1, TN2, NFY0104UW",11,9,5,133,64,False
201,"Broccoli, Region 1, TN2, NFY0104UX",57,5,12,195,180,True
202,"Broccoli, Raw, Region 1, n/a, Yes, Carotenoids - NFY010AGR",19,9,44,109,48,False
203,"Broccoli, Region 1, n/a, Yes, Vitamin E - NFY010488",15,10,38,26,135,False
204,"Broccoli, Region 1, n/a, Yes, Proximates - NFY01047M",53,1,42,183,188,False
205,"Broccoli, Region 1, n/a, Yes, Minerals - NFY01047O",24,1,71,177,149,False
206,"Broccoli, Region 1, n/a, Yes, Sugar - NFY01047P",11,5,42,157,19,False
207,"Broccoli, Region 1, n/a, Yes, Fiber - NFY01047T",20,11,63,199,113,False
208,"Broccoli, Region 1, n/a, Yes, Vitamin C - NFY01047U",40,2,70,61,120,False
209,"Broccoli, Region 1, n/a, Yes, Thiamin - NFY01047V",28,3,58,139,158,False
210,"Broccoli, Region 1, n/a, Yes, Riboflavin - NFY01047W",38,2,77,152,60,False
211,"Broccoli, Region 1, n/a, Yes, Niacin - NFY010481",35,1,66,65,23,False
212,"Broccoli, Region 1, n/a, Yes, Pantothenic Acid - NFY010482",42,2,63,117,57,False
213,"Broccoli, Region 1, n/a, Yes, Vitamin B6 - NFY010483",24,2,44,195,68,False
214,"Broccoli, Region 1, n/a, Yes, Folate - NFY010484",56,1,76,89,179,False
215,"Broccoli, Region 1, n/a, Yes, Vitamin K - NFY01048A",27,1,56,177,142,False
216,"Broccoli, Region 1, n/a, Yes, Selenium - NFY01048B",57,6,47,34,142,False
217,"Broccoli, Region 1, n/a, Yes, Proximates - NFY01048F",21,3,24,84,199,False
218,"Broccoli, Pass 2, Region 1, Pure Composite, CY010H2",11,4,17,53,76,False
219,"Broccoli, Pass 2, Region 1, AR1, NFY010D0L",14,8,33,34,72,False
220,"Broccoli, Pass 2, Region 1, AR1, NFY010D0M",50,7,79,47,28,False
221,"Broccoli, Pass 2, Region 1, TN2, NFY010D0I",25,1,28,137,85,False
222,"Broccoli, Pass 2, Region 1, TN2, NFY010D0J",19,1,28,164,9,False
223,"Broccoli, Pass 2, Region 1, TN2, NFY010D0K",19,9,42,111,66,False
224,"Broccoli, Raw, Pass 2, Region 1, n/a, Yes, Carotenoids - NFY010GLR",37,2,25,59,22,False
225,"Broccoli, Pass 2, Region 1, n/a, Yes, Vitamin K - NFY010CV2",48,5,68,35,82,False
226,"Broccoli, Pass 2, Region 1, n/a, Yes, Proximates - NFY010CUE",12,5,65,164,131,False
227,"Broccoli, Pass 2, Region 1, n/a, Yes, Minerals - NFY010CUG",25,4,66,134,194,False
228,"Broccoli, Pass 2, Region 1, n/a, Yes, Sugar - NFY010CUH",45,2,70,146,104,False
229,"Broccoli, Pass 2, Region 1, n/a, Yes, Vitamin C - NFY010CUL",30,3,44,22,164,False
230,"Broccoli, Pass 2, Region 1, n/a, Yes, Thiamin - NFY010CUM",57,5,3,194,68,False
231,"Broccoli, Pass 2, Region 1, n/a, Yes, Riboflavin - NFY010CUN",50,3,73,192,6,False
232,"Broccoli, Pass 2, Region 1, n/a, Yes, Niacin - NFY010CUO",31,11,50,153,64,False
233,"Broccoli, Pass 2, Region 1, n/a, Yes, Pantothenic Acid - NFY010CUT",8,10,26,121,34,False
234,"Broccoli, Pass 2, Region 1, n/a, Yes, Vitamin B6 - NFY010CUU",34,3,70,194,117,False
235,"Broccoli, Pass 2, Region 1, n/a, Yes, Folate - NFY010CUV",9,11,36,16,131,False
236,"Broccoli, Pass 2, Region 1, n/a, Yes, Amino Acids - NFY010CUW",22,2,42,143,127,False
237,"Broccoli, Region 3, Pure Composite, CY0107A",57,6,63,89,15,False
238,"Broccoli, Region 3, IL2, NFY0104UY",37,7,46,170,89,False
239,"Broccoli, Region 3, IL2, NFY0104UZ",59,11,79,115,198,False
240,"Broccoli, Region 3, TX2, NFY0104V0",55,2,78,58,17,False
241,"Broccoli, Region 3, TX2, NFY0104V1",7,8,36,74,144,False
242,"Broccoli, Region 3, TX3, NFY0104V2",52,3,23,17,172,False
243,"Broccoli, Region 3, TX3, NFY0104V3",16,3,32,156,175,False
244,"Broccoli, Raw, Region 3, n/a, Yes, Carotenoids - NFY010AH9",59,11,67,122,166,False
245,"Broccoli, Region 3, n/a, Yes, Vitamin E - NFY0104BI",2,8,13,168,5,False
246,"Broccoli, Region 3, n/a, Yes, Amino Acids - NFY0104BG",18,5,5,109,25,False
247,"Broccoli, Region 3, n/a, Yes, Fatty Acids - NFY0104BH",44,5,41,128,25,False
248,"Broccoli, Region 3, n/a, Yes, Vitamin K - NFY0104BN",34,2,46,92,19,False
249,"Broccoli, Region 3, n/a, Yes, Selenium - NFY0104BO",40,2,16,196,78,False
250,"Broccoli, Region 3, n/a, Yes, Proximates - NFY0104BP",44,11,17,21,24,False
251,"Broccoli, Region 3, n/a, Yes, Vitamin B6 - NFY0104BB",30,2,19,50,168,False
252,"Broccoli, Region 3, n/a, Yes, Folate - NFY0104BC",1,11,36,8,139,False
253,"Broccoli, Region 3, n/a, Yes, Proximates - NFY0104AU",44,11,41,93,97,False
254,"Broccoli, Region 3, n/a, Yes, Minerals - NFY0104AW",22,5,74,132,147,False
255,"Broccoli, Region 3, n/a, Yes, Sugar - NFY0104AX",23,4,24,157,172,False
256,"Broccoli, Region 3, n/a, Yes, Fiber - NFY0104B1",55,9,72,152,110,False
257,"Broccoli, Region 3, n/a, Yes, Vitamin C - NFY0104B2",55,2,58,167,128,False
258,"Broccoli, Region 3, n/a, Yes, Thiamin - NFY0104B3",12,4,20,109,83,False
259,"Broccoli, Region 3, n/a, Yes, Riboflavin - NFY0104B4",5,9,9,181,63,False
260,"Broccoli, Region 3, n/a, Yes, Niacin - NFY0104B9",43,10,71,192,33,False
261,"Broccoli, Region 3, n/a, Yes, Pantothenic Acid - NFY0104BA",46,9,59,53,41,False
262,"Broccoli, Region 4, Pure Composite, CY0107C",12,10,8,51,6,False
263,"Broccoli, Region 4, PA2, NFY0104OE",1,2,41,130,33,False
264,"Broccoli, Region 4, PA2, NFY0104OF",14,9,15,160,130,False
265,"Broccoli, Region 4, PA4, NFY0104OG",1,1,42,186,94,False
266,"Broccoli, Region 4, PA4, NFY0104OH",21,1,51,150,98,False
267,"Broccoli, Region 4, NY/NJ1, NFY0104OR",53,9,52,130,109,False
268,"Broccoli, Region 4, NY/NJ1, NFY0104OS",31,7,13,163,163,False
269,"Broccoli, Region 4, NY/NJ1, NFY0104OT",18,11,5,179,112,False
270,"Broccoli, Region 4, NY/NJ1, NFY0104OU",14,1,56,191,125,False
271,"Broccoli, Region 4, PA2, NFY0104OD",44,10,45,134,101,False
272,"Broccoli, Region 4, PA2, NFY0104OC",17,10,16,168,114,False
273,"Broccoli, Raw, Region 4, n/a, Yes, Carotenoids - NFY010AHI",29,8,22,55,171,False
274,"Broccoli, Region 4, n/a, Yes, Vitamin E - NFY0104CK",41,7,29,43,78,False
275,"Broccoli, Region 4, n/a, Yes, Proximates - NFY0104BX",37,11,59,53,63,False
276,"Broccoli, Region 4, n/a, Yes, Minerals - NFY0104BZ",39,2,65,183,54,False
277,"Broccoli, Region 4, n/a, Yes, Sugar - NFY0104C0",17,3,8,24,73,False
278,"Broccoli, Region 4, n/a, Yes, Starch - NFY0104C4",13,2,66,14,183,False
279,"Broccoli, Region 4, n/a, Yes, Fiber - NFY0104C5",26,2,44,126,59,False
280,"Broccoli, Region 4, n/a, Yes, Vitamin C - NFY0104C6",53,11,33,5,188,False
281,"Broccoli, Region 4, n/a, Yes, Thiamin - NFY0104C7",58,3,24,136,15,False
282,"Broccoli, Region 4, n/a, Yes, Riboflavin - NFY0104CC",47,1,17,68,160,False
283,"Broccoli, Region 4, n/a, Yes, Niacin - NFY0104CD",48,5,31,58,67,False
284,"Broccoli, Region 4, n/a, Yes, Pantothenic Acid - NFY0104CE",29,9,2,41,137,False
285,"Broccoli, Region 4, n/a, Yes, Vitamin B6 - NFY0104CF",56,8,66,23,163,False
286,"Broccoli, Region 4, n/a, Yes, Folate - NFY0104CJ",3,10,75,146,128,False
287,"Broccoli, Region 4, n/a, Yes, Vitamin K - NFY0104CM",9,2,20,171,118,False
288,"Broccoli, Region 4, n/a, Yes, Selenium - NFY0104CQ",21,11,28,182,60,False
289,"Broccoli, Region 4, n/a, Yes, Proximates - NFY0104CS",10,6,24,61,172,False
290,"Broccoli, steamed, Region 4, Pure Composite, CY0107D",4,3,31,12,22,False
291,"Broccoli, Cooked, Region 4, n/a, Yes, Proximates - NFY0104CY",9,2,37,19,150,False
292,"Broccoli, Cooked, Region 4, n/a, Yes, Proximates - NFY0104DY",5,3,63,120,130,False
293,"Broccoli, Cooked, Region 4, n/a, Yes, Minerals - NFY0104D0",43,11,10,176,40,False
294,"Broccoli, Cooked, Region 4, n/a, Yes, Sugar - NFY0104D1",57,1,50,41,72,False
295,"Broccoli, Cooked, Region 4, n/a, Yes, Starch - NFY0104D5",2,11,7,157,143,False
296,"Broccoli, Cooked, Region 4, n/a, Yes, Fiber - NFY0104D6",37,3,65,193,127,False
297,"Broccoli, Cooked, Region 4, n/a, Yes, Vitamin C - NFY0104D7",25,4,21,57,53,False
298,"Broccoli, Cooked, Region 4, n/a, Yes, Thiamin - NFY0104D8",31,5,28,36,91,False
299,"Broccoli, Cooked, Region 4, n/a, Yes, Riboflavin - NFY0104DD",49,2,26,50,82,False
300,"Broccoli, Cooked, Region 4, n/a, Yes, Niacin - NFY0104DE",37,8,33,139,129,False
301,"Broccoli, Cooked, Region 4, n/a, Yes, Pantothenic Acid - NFY0104DF",57,2,43,133,176,True
302,"Broccoli, Cooked, Region 4, n/a, Yes, Vitamin B6 - NFY0104DG",21,3,15,173,36,False
303,"Broccoli, Cooked, Region 4, n/a, Yes, Folate - NFY0104DK",17,7,23,73,142,False
304,"Broccoli, Cooked, Region 4, n/a, Yes, Carotenoids - NFY0104DM",13,7,66,155,196,False
305,"Broccoli, Cooked, Region 4, n/a, Yes, Vitamin K - NFY0104DR",12,4,71,116,124,False
306,"Broccoli, Cooked, Region 4, n/a, Yes, Selenium - NFY0104DT",36,10,59,177,139,False
307,"Broccoli, Region 2, Pure Composite, CY01078",32,2,36,73,184,False
308,"Broccoli, Region 2, OR/WA3, NFY0104OK",17,5,35,141,53,False
309,"Broccoli, Region 2, OR/WA3, NFY0104OL",13,1,68,196,10,False
310,"Broccoli, Region 2, OR/WA3, NFY0104OM",44,8,53,140,159,False
311,"Broccoli, Region 2, OR/WA3, NFY0104ON",52,5,75,173,165,False
312,"Broccoli, Region 2, OR/WA2, NFY0104OO",3,3,22,164,68,False
313,"Broccoli, Region 2, OR/WA2, NFY0104OP",27,1,37,25,28,False
314,"Broccoli, Region 2, OR/WA2, NFY0104OQ",4,9,32,114,192,False
315,"Broccoli, Region 2, CA1, NFY0104OI",52,5,73,44,76,False
316,"Broccoli, Region 2, CA1, NFY0104OJ",17,11,55,15,74,False
317,"Broccoli, Raw, Region 2, n/a, Yes, Carotenoids - NFY010AH0",14,1,10,117,150,False
318,"Broccoli, Region 2, n/a, Yes, Vitamin E - NFY010498",13,5,31,80,54,False
319,"Broccoli, Region 2, n/a, Yes, Proximates - NFY01048K",38,11,10,95,140,False
320,"Broccoli, Region 2, n/a, Yes, Minerals - NFY01048M",6,11,9,161,41,False
321,"Broccoli, Region 2, n/a, Yes, Sugar - NFY01048N",51,10,51,151,160,False
322,"Broccoli, Region 2, n/a, Yes, Fiber - NFY01048R",55,10,68,51,56,False
323,"Broccoli, Region 2, n/a, Yes, Vitamin C - NFY01048S",53,11,60,142,103,False
324,"Broccoli, Region 2, n/a, Yes, Thiamin - NFY01048T",39,2,13,196,53,False
325,"Broccoli, Region 2, n/a, Yes, Riboflavin - NFY01048U",19,3,32,27,150,False
326,"Broccoli, Region 2, n/a, Yes, Niacin - NFY01048Z",9,2,56,117,64,False
327,"Broccoli, Region 2, n/a, Yes, Pantothenic Acid - NFY010490",44,5,54,59,40,False
328,"Broccoli, Region 2, n/a, Yes, Vitamin B6 - NFY010491",28,5,69,162,7,False
329,"Broccoli, Region 2, n/a, Yes, Folate - NFY010492",54,11,37,85,174,False
330,"Broccoli, Region 2, n/a, Yes, Amino Acids - NFY010496",40,6,69,77,155,False
331,"Broccoli, Region 2, n/a, Yes, Fatty Acids - NFY010497",1,11,20,120,136,False
332,"Broccoli, Region 2, n/a, Yes, Vitamin K - NFY01049D",30,9,13,127,67,False
333,"Broccoli, Region 2, n/a, Yes, Selenium - NFY01049E",54,9,30,100,141,False
334,"Broccoli, Region 2, n/a, Yes, Proximates - NFY01049F",6,5,48,100,86,False
